iso_code,country_name,epi_score,epi_eco,epi_hlt,epi_bdh,epi_cch,epi_air,epi_h2o,epi_wmg,epi_agr,n_firms,br_env,co2_monitoring_pct,energy_mgmt_pct
BRA,Brazil,53.0,63.9,42.4,62.3,45.5,36.2,59.1,26.2,81.0,,,,
BRB,Barbados,53.1,34.4,77.6,12.2,56.7,85.8,59.1,46.0,47.9,153.0,26.457899670311107,4.57516339869281,20.394736842105264
BRN,Brunei Darussalam,48.3,48.3,71.0,47.3,29.2,68.6,87.2,35.0,24.1,,,,
BTN,Bhutan,43.3,59.9,22.5,65.7,35.3,16.6,35.0,35.8,44.7,155.0,,7.741935483870968,11.612903225806452
BWA,Botswana,49.2,74.9,31.9,85.6,25.1,34.3,20.1,31.4,35.3,622.0,29.883033653669848,13.848631239935589,23.311897106109324
CAF,Central African Republic,39.0,57.9,14.6,71.5,31.0,15.4,8.9,20.7,38.3,151.0,25.03118185138889,21.91780821917808,32.857142857142854
CAN,Canada,61.1,60.4,77.7,52.9,48.2,72.4,95.5,36.0,72.3,1015.0,,23.45309381237525,50.0996015936255
CHE,Switzerland,67.8,68.6,76.3,59.8,59.4,67.5,100.0,66.8,59.6,,,,
CHL,Chile,49.6,57.4,45.1,42.5,41.5,29.2,80.8,31.0,66.3,,,,
CHN,China,35.4,35.6,29.7,9.5,39.8,14.3,73.9,43.3,69.0,2189.0,,25.31884742560227,50.49645390070921
CIV,Cote d'Ivoire,42.9,49.9,33.7,56.2,40.9,37.0,24.3,23.7,42.2,649.0,33.40332195322221,26.43856920684292,33.48982785602504
CMR,Cameroon,38.6,49.3,19.7,45.2,39.4,16.9,23.0,26.8,50.4,615.0,,8.688524590163935,22.937293729372936
COD,Dem. Rep. Congo,39.5,54.5,14.0,52.0,40.1,8.1,25.6,23.9,39.0,1025.0,,14.579256360078277,30.935960591133004
COG,Republic of Congo,41.6,65.1,17.7,71.6,29.3,12.1,24.4,37.8,48.1,365.0,,19.667590027700832,22.284122562674096
COL,Colombia,49.7,57.0,45.7,55.5,42.2,39.6,60.6,27.0,59.3,919.0,42.661169997581744,17.595628415300546,37.99126637554585
COM,Comoros,38.2,45.1,41.4,49.0,25.2,46.6,25.7,28.0,50.6,,,,
CPV,Cabo Verde,38.0,22.7,54.8,19.2,43.4,63.0,36.1,20.2,28.0,163.0,,14.11042944785276,20.245398773006134
CRI,Costa Rica,55.5,62.6,53.7,63.3,46.3,49.6,66.4,31.2,57.0,357.0,40.42647015333333,21.568627450980394,63.48314606741573
CUB,Cuba,52.5,50.1,52.1,42.8,56.4,52.5,57.8,23.5,47.0,,,,
CYP,Cyprus,53.9,56.5,62.8,51.2,42.6,55.9,89.4,31.7,35.7,246.0,,11.788617886178862,49.59349593495935
CZE,Czech Republic,65.5,78.0,58.9,78.9,52.2,50.4,79.3,51.2,74.0,268.0,,27.611940298507463,54.850746268656714
DEU,Germany,74.5,80.1,76.1,82.4,64.9,66.9,100.0,67.4,78.8,268.0,,,
DJI,Djibouti,32.3,24.4,29.2,17.5,47.9,29.1,25.7,29.1,65.0,,,,
DMA,Dominica,49.3,40.5,57.7,27.7,53.6,61.9,50.7,38.4,45.7,,,,
DNK,Denmark,67.7,62.7,77.5,53.1,67.1,70.9,93.6,65.5,77.8,,,,
DOM,Dominican Republic,47.7,57.1,43.4,57.0,37.3,46.3,42.5,18.3,78.7,,,,
DZA,Algeria,41.7,41.8,48.2,33.0,36.2,46.0,64.1,37.6,46.7,,,,
ECU,Ecuador,51.3,56.9,44.7,49.8,48.5,37.2,64.1,32.4,50.1,345.0,,23.9067055393586,58.01749271137027
EGY,Egypt,43.7,51.5,33.5,47.5,40.4,31.7,52.6,25.2,48.9,,,,
ERI,Eritrea,29.0,25.6,24.8,16.6,38.1,26.8,16.0,21.3,31.9,,,,
